pointer_offset,source_offset,category,label,japanese,encoded_bytes,patched_pointer_changed,patched_payload_changed,residual_japanese,raw_hex,confirmed_text_pool
0x7AA0C,0x200FC,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AA14,0x21720,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AA24,0x1D3AC,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AA28,0x1B804,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AA2C,0x217BC,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AA38,0x1D3AC,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AA3C,0x1B804,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AA40,0x2188C,unclassified_pointer,, 敵ま<N:７:11>,5,False,False,True,E0 FF BD 27 18,False
0x7AA4C,0x1D3AC,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AA50,0x2195C,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AA54,0x1B804,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AA58,0x219B8,unclassified_pointer,, 敵ま<N:７:11>,5,False,False,True,E0 FF BD 27 18,False
0x7AA64,0x1D3AC,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AA68,0x1B804,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AA6C,0x1DB54,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AA70,0x21AE8,unclassified_pointer,, 敵まの,5,False,False,True,E0 FF BD 27 1C,False
0x7AA74,0x21B70,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AA80,0x1D3AC,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AA84,0x1B804,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AA88,0x1DB54,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AA8C,0x21C28,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま<N:ﾉ:6>,5,False,False,True,E8 FF BD 27 10,False
0x7AA94,0x200FC,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AAA0,0x21CB0,unclassified_pointer,,<CTRL:E8><CTRL:FF>敵ま3,5,False,False,True,E8 FF BD 27 14,False
0x7AAAC,0x1FEC0,unclassified_pointer,,ム<CTRL:FF>敵まか,5,False,False,True,D8 FF BD 27 20,False
