file,size,in_patch_zip,whole_file_changed,changed_bytes,corpus_total,high,medium,low,e2_valid,e2_other,inline_changed,original_high,occupied_slots,free_slots,remaining_for_e2,capacity_state
8/S8012.DAT,305152,0,0,0,29,12,17,0,0,0,0,12,0,79,12,fits_current_e2_bank
8/S8013.DAT,305152,0,0,0,43,26,17,0,0,0,0,26,31,48,26,fits_current_e2_bank
8/S8021.DAT,305152,0,0,0,20,19,1,0,0,0,0,19,0,79,19,fits_current_e2_bank
8/S8031.DAT,305152,0,0,0,34,12,22,0,0,0,0,12,31,48,12,fits_current_e2_bank
8/S8041.DAT,305152,0,0,0,10,8,2,0,0,0,0,8,0,79,8,fits_current_e2_bank
8/S8051.DAT,305152,0,0,0,29,7,22,0,0,0,0,7,38,41,7,fits_current_e2_bank
8/S8061.DAT,305152,0,0,0,18,18,0,0,0,0,0,18,0,79,18,fits_current_e2_bank
8/S8062.DAT,305152,0,0,0,13,13,0,0,0,0,0,13,0,79,13,fits_current_e2_bank
9/S9011.DAT,305152,0,0,0,0,0,0,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
9/S9012.DAT,305152,0,0,0,7,7,0,0,0,0,0,7,0,79,7,fits_current_e2_bank
9/S9013.DAT,305152,0,0,0,4,4,0,0,0,0,0,4,0,79,4,fits_current_e2_bank
9/S9021.DAT,305152,0,0,0,23,2,21,0,0,0,0,2,31,48,2,fits_current_e2_bank
9/S9031.DAT,305152,0,0,0,25,4,21,0,0,0,0,4,31,48,4,fits_current_e2_bank
9/S9041.DAT,305152,0,0,0,3,3,0,0,0,0,0,3,0,79,3,fits_current_e2_bank
9/S9051.DAT,305152,0,0,0,18,18,0,0,0,0,0,18,0,79,18,fits_current_e2_bank
B/SB011.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
B/SB021.DAT,305152,0,0,0,4,3,1,0,0,0,0,3,0,79,3,fits_current_e2_bank
B/SB022.DAT,305152,0,0,0,26,21,5,0,0,0,0,21,0,79,21,fits_current_e2_bank
B/SB031.DAT,335872,0,0,0,25,0,25,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
B/SB041.DAT,305152,0,0,0,8,3,5,0,0,0,0,3,0,79,3,fits_current_e2_bank
B/SB051.DAT,305152,0,0,0,4,0,4,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
B/SB061.DAT,335872,0,0,0,0,0,0,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
B/SB071.DAT,305152,0,0,0,76,3,73,0,0,0,0,3,0,79,3,fits_current_e2_bank
B/SB072.DAT,305152,0,0,0,80,12,68,0,0,0,0,12,0,79,12,fits_current_e2_bank
B/SB081.DAT,305152,0,0,0,24,0,24,0,0,0,0,0,31,48,0,no_high_confidence_dialogue
